PALABRA;CALIFICACION
hospitalarios;1,0000
bajarlo;,0000
balaidos;1,0000
negociara;1,0000
valorarnos;1,0000
tupe;1,0000
aprietan;-1,0000
atufado;1,0000
dandolo;1,0000
recaudo;1,0000
tormenta;-1,0000
joy;1,0000
disfrutarlo;1,0000
negativamente;-1,0000
blanco;,0000
exclusividad;,0000
cupula;,0000
federaciones;,0000
conversaciones;,0000
signed;1,0000
rodillas;-1,0000
femenino;,0000
convocaban;1,0000
esperamos;1,0000
ebullicion;,0000
apreciar;1,0000
capo;1,0000
categoricas;1,0000
defendido;,0000
buscarlos;1,0000
escucharles;1,0000
dilatar;1,0000
matas;-1,0000
aplazaran;1,0000
grabara;1,0000
empezamos;,0000
especializados;1,0000
acumulado;1,0000
acompane;,0000
vecinas;1,0000
gana;1,0000
conseguiste;1,0000
baso;1,0000
curra;,0000
matonismo;,0000
entregas;1,0000
portaban;-1,0000
disidencias;1,0000
comprometiendose;1,0000
usa;,0000
injusticia;-1,0000
exactamente;,0000
apuntemos;1,0000
condicional;,0000
impagable;,0000
lego;1,0000
publicaran;,0000
narra;1,0000
parece;,0000
consumidor;,0000
bando;-1,0000
representaba;1,0000
liquido;1,0000
avanzo;1,0000
traduccion;,0000
denominador;1,0000
orientado;1,0000
reves;,0000
gracios;1,0000
reformando;1,0000
nariz;,0000
comentan;,0000
curraran;1,0000
horarios;,0000
levantar;,0000
campana;,0000
gestionados;1,0000
santos;,0000
respirando;1,0000
intimidado;1,0000
rentas;,0000
encajando;1,0000
manejara;1,0000
chupa;1,0000
rectificado;,0000
merecedor;1,0000
contribuido;1,0000
gritamos;1,0000
choteo;1,0000
conspirar;,0000
callarse;,0000
propiedad;,0000
preparaba;1,0000
marcaran;1,0000
mansos;1,0000
transparencia;,0000
recuperamos;,0000
renuncias;,0000
suavizar;,0000
quiet;1,0000
encargara;,0000
buenisimas;1,0000
manipulacion;-1,0000
tomado;,0000
construyendo;1,0000
pedirles;1,0000
pedi;,0000
pijama;,0000
importancia;1,0000
participamos;,0000
torrente;,0000
detecta;,0000
modificaron;1,0000
sacaran;-1,0000
tolera;1,0000
apretando;,0000
laminado;-1,0000
fundarlo;1,0000
mayos;1,0000
devolvamos;1,0000
mide;,0000
sorprenderme;,0000
ataco;-1,0000
clandestino;1,0000
serpiente;-1,0000
ejecutiva;,0000
refrenda;1,0000
orgullo;1,0000
propon;1,0000
artisticas;1,0000
seminarios;1,0000
incomprensible;-1,0000
maldicion;-1,0000
contratando;1,0000
directora;,0000
escola;-1,0000
comparta;1,0000
directas;,0000
sello;-1,0000
maligno;1,0000
elegantes;1,0000
adaptado;1,0000
interesantisima;,0000
vertederos;1,0000
justificable;1,0000
sobrecogido;1,0000
obedecer;1,0000
maniobras;,0000
simulara;,0000
bloquear;-1,0000
empezas;1,0000
apunta;,0000
doctorando;1,0000
publicaron;,0000
estrepitosamente;1,0000
dilema;-1,0000
ilustrar;1,0000
comenzaremos;1,0000
embellece;1,0000
optara;1,0000
realizadas;,0000
presidenciales;,0000
gatos;,0000
emergentes;,0000
gozada;1,0000
renovaran;1,0000
haber;,0000
descarta;,0000
municipalistas;1,0000
abades;1,0000
bones;1,0000
hp;1,0000
bombardear;-1,0000
manero;1,0000
vacas;,0000
val;1,0000
pellizco;1,0000
debil;-1,0000
defensiva;,0000
entregarlo;1,0000
repetir;,0000
antiguedad;-1,0000
hacendistas;1,0000
serenidad;,0000
solteros;1,0000
rechazaron;1,0000
apoyada;,0000
retrasados;1,0000
retira;-1,0000
volcados;-1,0000
morirse;-1,0000
vigilar;,0000
haciendose;-1,0000
desmontarlas;1,0000
afiliado;,0000
banca;-1,0000
sonada;1,0000
inquietante;,0000
repartir;,0000
saldos;1,0000
quedaremos;,0000
desconecta;1,0000
timbre;1,0000
gorro;1,0000
ubicada;1,0000
basa;,0000
magnificas;1,0000
liberal;,0000
olvida;,0000
provocadores;-1,0000
llegamos;,0000
based;,0000
afable;1,0000
desilusion;,0000
alejando;1,0000
tratas;1,0000
subirse;,0000
atraer;1,0000
demandaron;1,0000
encuentros;,0000
vandalos;,0000
farmacia;,0000
seller;,0000
potes;1,0000
temple;,0000
estatales;,0000
aceptarsela;1,0000
reojo;-1,0000
congelado;-1,0000
citando;,0000
alababa;1,0000
quietos;1,0000
ticos;1,0000
cara;,0000
exagerada;1,0000
leccion;,0000
baja;-1,0000
aproxima;,0000
puja;-1,0000
modernidad;1,0000
exactos;,0000
exitoso;1,0000
sacrificara;1,0000
promotora;1,0000
prometan;1,0000
mutilado;1,0000
curarla;1,0000
redonda;,0000
diabetes;,0000
alicante;,0000
crucificar;-1,0000
agraciados;1,0000
colarse;-1,0000
martes;,0000
trajimos;1,0000
camarera;1,0000
valiente;1,0000
tragarse;1,0000
efectivo;,0000
maxo;1,0000
distribuidores;1,0000
auroras;,0000
buscan;,0000
dudas;-1,0000
castigada;-1,0000
titularla;1,0000
adivina;,0000
mortalidad;,0000
bollos;1,0000
capricho;1,0000
futuribles;1,0000
difundiendo;,0000
finalizamos;1,0000
asociarlos;1,0000
bestial;1,0000
interactivo;,0000
lesionarse;1,0000
involucre;1,0000
cristianas;1,0000
utilizan;,0000
venganzas;-1,0000
representantes;,0000
subastar;1,0000
finisimo;1,0000
funcionaran;1,0000
matiz;,0000
educando;1,0000
plancton;1,0000
delimita;1,0000
obligando;-1,0000
ilegalmente;-1,0000
brota;1,0000
legalidad;,0000
tanques;-1,0000
pegados;1,0000
deseados;1,0000
truce;1,0000
investigados;,0000
beneficiada;1,0000
constitucionales;,0000
gasta;-1,0000
viajaremos;1,0000
hackearon;1,0000
pipa;-1,0000
cateto;1,0000
disfrutas;1,0000
quedarse;,0000
leyendas;-1,0000
color;1,0000
disfrutarlas;1,0000
trabajado;1,0000
diario;,0000
telefono;,0000
tardado;,0000
permitido;,0000
nuevamente;1,0000
desagradables;-1,0000
encuentro;,0000
polemicas;-1,0000
tema;,0000
invencibles;1,0000
republica;,0000
temporalidad;-1,0000
mencionar;,0000
replegaran;1,0000
retumbar;1,0000
larguen;1,0000
pactaran;1,0000
suenan;,0000
rodado;,0000
acantilado;,0000
suele;,0000
rehabilitacion;,0000
cartas;,0000
sarcasm;1,0000
variable;-1,0000
saturada;-1,0000
cierto;,0000
nervioso;-1,0000
parecer;,0000
comportamos;1,0000
lost;-1,0000
embargan;1,0000
circulacion;-1,0000
provecho;,0000
depositada;1,0000
ordenadas;1,0000
pasilleado;1,0000
perfilo;1,0000
ahorcada;1,0000
comedie;1,0000
abandono;,0000
escucharan;,0000
funcionalidad;1,0000
predilecto;1,0000
preciosos;1,0000
and;,0000
historia;,0000
pagan;-1,0000
reactivar;,0000
siglo;,0000
viendo;,0000
afectan;,0000
azar;,0000
relajado;1,0000
llega;,0000
ganas;1,0000
colapsada;-1,0000
pena;,0000
letargo;-1,0000
video;,0000
pisando;1,0000
tradicionales;,0000
olaa;1,0000
acerto;1,0000
eticamente;,0000
fichada;1,0000
voleibol;1,0000
conservador;,0000
mejorable;,0000
radicalizacion;,0000
jefe;,0000
elogiar;1,0000
fluya;1,0000
cercana;1,0000
juren;,0000
indicaron;1,0000
incorrectos;1,0000
vocaciones;1,0000
rizo;1,0000
in;,0000
repitimos;1,0000
responsable;,0000
equilibrios;,0000
reventado;-1,0000
gilbert;1,0000
sangria;-1,0000
visitarnos;,0000
adecuados;,0000
islamista;-1,0000
comportandose;1,0000
interino;,0000
callaran;,0000
sufre;-1,0000
casado;,0000
treinta;,0000
cercanas;1,0000
prev;1,0000
terceros;,0000
oxigeno;,0000
descredito;-1,0000
perdurara;1,0000
reglamentos;-1,0000
profesorado;,0000
hoyos;,0000
tapaba;1,0000
cruda;,0000
calentara;1,0000
litro;-1,0000
negar;-1,0000
humanes;1,0000
medirse;1,0000
moviliza;,0000
entiend;1,0000
aclaraciones;,0000
remates;1,0000
caminen;1,0000
contencion;-1,0000
descansara;1,0000
peninsula;,0000
pronunciar;1,0000
personalismos;-1,0000
vulneran;-1,0000
colinas;1,0000
historicos;-1,0000
figurar;1,0000
pudieras;,0000
decrecer;1,0000
unida;,0000
peninsular;,0000
picota;1,0000
vacunaciones;1,0000
firmarme;1,0000
tramaron;1,0000
controlar;,0000
escribes;,0000
hoje;1,0000
moderar;-1,0000
reprende;,0000
transplantes;1,0000
injustos;-1,0000
jueves;,0000
vinculados;1,0000
militas;1,0000
peleon;1,0000
canarios;,0000
recomendaciones;,0000
mejoran;1,0000
agenda;,0000
repensar;1,0000
sonamos;1,0000
despachar;,0000
ocupandose;1,0000
licenciado;1,0000
cabezadas;,0000
acompanamiento;1,0000
subia;,0000
equilibrio;,0000
minuciosa;1,0000
normal;,0000
pin;1,0000
revanchismo;-1,0000
lugo;,0000
sena;1,0000
voluntad;,0000
estadisticas;,0000
agradecerlo;1,0000
tristemente;1,0000
subrayar;1,0000
interpone;1,0000
ponemos;,0000
coreen;1,0000
esperanzador;1,0000
inmaduro;1,0000
porcentaje;-1,0000
miserables;-1,0000
lamentamos;-1,0000
exagera;1,0000
oficinas;,0000
recuperarse;,0000
arrase;1,0000
accede;,0000
mexicano;,0000
novata;1,0000
aficionada;1,0000
entrare;,0000
cuaderno;,0000
artes;,0000
cumplimos;1,0000
verduras;,0000
dedicandole;1,0000
acabada;,0000
pelotas;,0000
adentrarse;1,0000
anota;1,0000
cumplidora;1,0000
hackeado;,0000
presente;,0000
dibujaban;1,0000
nature;1,0000
angustia;-1,0000
aprenda;,0000
alertando;1,0000
sos;,0000
preocuparse;-1,0000
despilfarrando;1,0000
repuntas;1,0000
adaptarse;1,0000
progresistas;,0000
especialmente;1,0000
pon;,0000
baba;,0000
clemente;,0000
desvela;,0000
tensiones;-1,0000
ruge;1,0000
violente;1,0000
abusaba;-1,0000
infalibles;1,0000
firmamos;1,0000
incidir;1,0000
film;,0000
tacharan;-1,0000
apasionantes;1,0000
compre;,0000
recogerlas;1,0000
talla;1,0000
necesitaran;1,0000
aplico;1,0000
fastidia;-1,0000
publicar;,0000
relajantes;1,0000
tapon;,0000
rompia;1,0000
apartamento;,0000
apropie;1,0000
radioactivo;1,0000
participan;,0000
suspension;-1,0000
apuntaba;1,0000
entusiasman;1,0000
toneladas;,0000
enfurrunan;1,0000
disculpad;1,0000
directiva;,0000
juzgan;-1,0000
des;1,0000
gente;,0000
pagaba;-1,0000
quisquillosos;1,0000
declaracion;,0000
fascinantes;1,0000
sesenta;1,0000
discrepa;-1,0000
excepcionalmente;1,0000
subversion;1,0000
camaras;,0000
escribieron;,0000
fidedignos;1,0000
paisajes;,0000
primos;,0000
indefenso;1,0000
gastaba;-1,0000
dem;,0000
debatirlas;1,0000
dejes;-1,0000
parlamentos;-1,0000
asusta;-1,0000
igualmente;1,0000
regla;,0000
deprime;-1,0000
materialmente;1,0000
socializando;1,0000
cambiando;,0000
limitaciones;1,0000
sorprendes;1,0000
desanimo;1,0000
limite;,0000
agradecerle;1,0000
solucionado;1,0000
asigno;1,0000
recetan;-1,0000
suman;,0000
atrasadas;1,0000
filtro;-1,0000
forzado;-1,0000
mirad;,0000
ilustre;1,0000
atribuido;1,0000
amargura;-1,0000
emocion;1,0000
suertes;1,0000
inclinando;1,0000
fraternidad;,0000
humilde;,0000
espectador;,0000
hincharle;1,0000
competencias;,0000
barcos;,0000
complejo;,0000
exigiendo;,0000
percibieran;1,0000
explotadas;1,0000
ubicara;1,0000
mantener;,0000
debatir;,0000
diferidos;1,0000
atrasada;1,0000
bromees;1,0000
danara;1,0000
adecue;1,0000
concorde;1,0000
incongruente;1,0000
tiempo;,0000
observo;1,0000
apostata;1,0000
recela;1,0000
cuenten;,0000
agri;1,0000
mediodia;,0000
instalada;,0000
jugando;,0000
restos;-1,0000
sonriente;,0000
codigos;-1,0000
raros;1,0000
gobernase;1,0000
constatara;1,0000
carnes;,0000
rondaremos;1,0000
colectivos;,0000
detectara;1,0000
peguen;1,0000
comparacion;-1,0000
nucleos;,0000
orientamos;1,0000
respetada;1,0000
intimidacion;1,0000
proximo;,0000
contando;,0000
clausurando;,0000
ambiguo;-1,0000
entendidos;1,0000
admiras;,0000
indecente;-1,0000
estimo;1,0000
influye;1,0000
depende;,0000
galardonados;1,0000
camarero;,0000
fraternal;1,0000
fascinaban;1,0000
pesquero;,0000
alertas;,0000
austeridades;1,0000
formula;,0000
camen;1,0000
desahucios;-1,0000
perdia;,0000
rollete;1,0000
aciertan;,0000
lucio;,0000
charlamos;-1,0000
evadiera;1,0000
sucios;-1,0000
inigualables;1,0000
soportar;,0000
espanto;,0000
imagen;,0000
cabe;,0000
inspirado;,0000
borrar;1,0000
adoptada;,0000
pijamas;,0000
escaleras;1,0000
sant;,0000
europeas;,0000
catorce;1,0000
interno;,0000
ministre;1,0000
prioritarias;,0000
finalizara;1,0000
mal;-1,0000
fango;1,0000
librara;1,0000
festejos;1,0000
brujo;1,0000
medievales;1,0000
quisimos;1,0000
llevaban;,0000
suspendan;1,0000
extendiendo;1,0000
apelativos;1,0000
previsiblemente;1,0000
descaro;1,0000
abolir;,0000
operarse;1,0000
externos;1,0000
americanas;,0000
infringe;1,0000
dirigente;,0000
abad;,0000
periodisticos;1,0000
electoralismos;1,0000
operas;1,0000
nacional;,0000
puedas;,0000
peleo;1,0000
excluir;-1,0000
amat;1,0000
preguntaron;,0000
soledad;,0000
acosado;1,0000
pisaran;1,0000
saldan;1,0000
portalada;1,0000
cona;,0000
aportara;,0000
desorden;-1,0000
factible;,0000
furioso;-1,0000
chocolate;,0000
distintas;,0000
presos;-1,0000
bronca;,0000
representativa;,0000
alucinas;1,0000
acelerado;,0000
demoler;1,0000
inmensa;1,0000
arranca;,0000
momentos;,0000
reducir;,0000
elemental;1,0000
ciento;-1,0000
rompiendo;,0000
mareado;1,0000
asociaciones;,0000
frivolo;,0000
cookies;,0000
molestado;1,0000
vuelto;,0000
subyacente;1,0000
muertas;-1,0000
desbordado;1,0000
duques;,0000
perderemos;,0000
payasada;1,0000
corrosivo;1,0000
estructura;,0000
vinculante;,0000
traducido;-1,0000
entregarles;1,0000
identificado;,0000
fecundo;1,0000
accion;,0000
alzada;,0000
lloro;,0000
fisuras;1,0000
agudos;,0000
jubilados;,0000
tesoro;1,0000
acompanarme;1,0000
tonic;,0000
proceso;,0000
ceniza;,0000
siguen;,0000
indigestiones;1,0000
seguro;1,0000
imponiendo;-1,0000
future;1,0000
denigrarlo;1,0000
nadir;1,0000
hartarnos;1,0000
mandaba;,0000
educaciono;1,0000
concurso;,0000
plastico;1,0000
ganando;1,0000
homosexuales;,0000
vacia;-1,0000
aprobadas;1,0000
ahorremos;1,0000
crecida;1,0000
haciendonos;1,0000
relacione;1,0000
anorar;-1,0000
mister;1,0000
diversas;1,0000
olor;,0000
gracian;1,0000
sentarme;1,0000
historica;,0000
transformador;,0000
pegado;-1,0000
endeudaron;,0000
agil;1,0000
divertidos;1,0000
comision;,0000
cruzada;,0000
preservadas;1,0000
interesados;1,0000
afrenta;1,0000
tres;,0000
potra;1,0000
codicioso;1,0000
eficacia;1,0000
atrae;1,0000
expulsando;-1,0000
guias;,0000
injurias;1,0000
deuda;-1,0000
imaginan;,0000
veinte;,0000
blancas;,0000
compone;1,0000
victor;1,0000
manifestaciones;-1,0000
mimo;1,0000
mayusculo;,0000
rio;,0000
indignados;-1,0000
suelen;,0000
repartido;,0000
pelota;,0000
orienta;1,0000
holgada;1,0000
dime;,0000
cedo;-1,0000
mentimos;1,0000
considerada;1,0000
atizando;1,0000
palo;,0000
arriesgadas;,0000
portar;,0000
toda;1,0000
recuerdas;1,0000
variar;,0000
acordaseis;1,0000
huir;-1,0000
apartara;1,0000
comiste;1,0000
euforizantes;1,0000
emponzona;1,0000
cuadrado;1,0000
contradictorios;,0000
deposite;1,0000
vergonzosas;1,0000
tactico;1,0000
mentales;,0000
leves;-1,0000
cargarselo;1,0000
apareciendo;,0000
pique;,0000
entranable;1,0000
exposito;,0000
incompatible;-1,0000
separadas;1,0000
tradiciones;,0000
compartieran;1,0000
configurada;1,0000
pagarse;1,0000
defensivo;1,0000
pelearnos;1,0000
decidida;,0000
granizo;,0000
claves;,0000
hicimos;,0000
vales;1,0000
disputa;-1,0000
ilumine;1,0000
asamblea;,0000
enganos;-1,0000
ediciones;,0000
recortaban;1,0000
olvidas;1,0000
exposiciones;1,0000
disimulada;1,0000
sexy;1,0000
naufragos;,0000
reuniendonos;1,0000
barajando;1,0000
dependencias;1,0000
pisar;,0000
mexicana;,0000
penetracion;1,0000
comentarle;-1,0000
embargado;-1,0000
rompehielos;1,0000
descendimiento;1,0000
propuse;1,0000
fund;,0000
influyente;1,0000
inmutado;1,0000
soporten;1,0000
ilustrativo;1,0000
ruedas;,0000
desestimada;1,0000
discusiones;1,0000
indignante;-1,0000
estudie;,0000
cientificos;,0000
desarrollos;1,0000
agrandamos;1,0000
endeudados;1,0000
temporal;-1,0000
izquierda;,0000
work;1,0000
esperadas;1,0000
monstruosidad;1,0000
someten;1,0000
construir;1,0000
patriotico;1,0000
ritmoes;1,0000
catala;,0000
empanado;1,0000
rectoras;1,0000
supervisaran;1,0000
amenaza;-1,0000
destrozos;-1,0000
acosta;1,0000
energicamente;1,0000
veteranos;,0000
aposto;1,0000
cinematografica;1,0000
levantamos;1,0000
rusas;,0000
comenta;,0000
desactivando;1,0000
vetara;1,0000
rabioso;-1,0000
brindaran;,0000
organizan;,0000
contribuyendo;1,0000
apunarme;1,0000
cueva;,0000
compense;,0000
cuente;,0000
extensible;1,0000
confidencia;1,0000
intencionado;1,0000
ajo;1,0000
maternidad;,0000
victorias;1,0000
arrasan;1,0000
distorsion;1,0000
arreglan;1,0000
integrar;1,0000
evaluaba;1,0000
encuentran;,0000
aritmetica;1,0000
milagro;,0000
pasamos;,0000
incisivas;1,0000
algodon;1,0000
industrias;1,0000
decrecemos;1,0000
instruccion;,0000
divierte;1,0000
provincianos;1,0000
considere;,0000
bronce;,0000
recupero;,0000
permanente;,0000
enfada;-1,0000
abrumado;,0000
comprensiva;1,0000
venenosa;1,0000
negaron;-1,0000
injustificados;1,0000
quejamos;1,0000
emple;1,0000
promiscuidad;1,0000
decretar;1,0000
nueva;1,0000
piquetes;-1,0000
salvavidas;,0000
preguntaba;,0000
estirado;1,0000
atrasado;1,0000
cederemos;1,0000
iniciado;1,0000
rebusco;1,0000
litigiosidad;1,0000
digamos;,0000
consensuado;,0000
falla;,0000
aparten;1,0000
cese;,0000
suprima;1,0000
rodeada;,0000
populares;1,0000
niveles;,0000
atmosfera;,0000
gandula;1,0000
receso;-1,0000
conspirando;1,0000
perdamos;,0000
presupuestarios;-1,0000
ensenarles;1,0000
merman;1,0000
significa;,0000
defuncion;-1,0000
greguerias;1,0000
drone;-1,0000
tablas;,0000
vigilado;,0000
anuncio;,0000
perjuicios;1,0000
ilusiones;1,0000
nombrarme;1,0000
ciclo;,0000
baloncesto;,0000
conduccion;1,0000
dispara;,0000
genos;1,0000
snif;,0000
antipodas;1,0000
convocadas;,0000
morosos;1,0000
avezada;1,0000
senores;,0000
elaborarse;1,0000
cantantes;,0000
legisladores;1,0000
idolatro;1,0000
curiosidades;,0000
simples;,0000
innova;,0000
envenenadas;1,0000
creaciones;1,0000
ponerlos;1,0000
catarros;1,0000
divertidisima;1,0000
indiferente;,0000
difaman;-1,0000
desarrolla;1,0000
censara;1,0000
aplicada;,0000
proxenetas;,0000
decrece;,0000
necesariamente;1,0000
esposas;1,0000
sobresaltos;1,0000
dan;,0000
estira;,0000
apoyamos;1,0000
comarcas;-1,0000
planteamos;1,0000
efectivamente;,0000
embustero;1,0000
demagogo;,0000
aislados;-1,0000
matizados;1,0000
proximos;,0000
sono;1,0000
reservara;,0000
investigaban;1,0000
paliza;-1,0000
castigan;-1,0000
mientras;-1,0000
estrenado;1,0000
molabas;1,0000
saltarsela;1,0000
sublime;1,0000
traiciona;-1,0000
asaltaba;1,0000
limon;1,0000
dejarlo;,0000
destrezas;1,0000
bonhomia;1,0000
provechosa;1,0000
pollos;-1,0000
engana;-1,0000
fuego;-1,0000
empiezas;,0000
prevision;,0000
prestado;,0000
dolorosos;-1,0000
menospreciando;1,0000
decepcion;-1,0000
preparamos;1,0000
incluyen;,0000
colegas;,0000
compareciendo;1,0000
enverdecer;1,0000
desafia;1,0000
ladra;1,0000
elogioso;1,0000
despreciemos;1,0000
capita;,0000
fotograficos;1,0000
avispas;1,0000
encabezado;1,0000
testigo;,0000
cabido;1,0000
inventaron;1,0000
jugueteen;1,0000
viajan;,0000
aficion;1,0000
basica;-1,0000
organizad;1,0000
mandarles;1,0000
efusivo;,0000
tintin;1,0000
tributos;1,0000
cansada;,0000
agonia;-1,0000
situados;1,0000
telefoneado;1,0000
estancan;1,0000
proveer;-1,0000
afirmo;1,0000
desden;1,0000
conmemorativa;,0000
comida;,0000
afectados;,0000
bengala;1,0000
recortaran;1,0000
tristan;1,0000
estrelle;1,0000
cogemos;1,0000
mantenerlo;,0000
pongase;-1,0000
pistolas;,0000
implico;,0000
chatarra;,0000
perdure;1,0000
camareros;1,0000
lloramos;-1,0000
modelo;,0000
apostamos;,0000
adele;,0000
polvo;,0000
empresas;-1,0000
callista;1,0000
ensalzaba;1,0000
sacar;,0000
llamen;,0000
fuga;-1,0000
tierna;1,0000
dividen;-1,0000
terapeutica;1,0000
mon;,0000
tratada;1,0000
bienaventurados;1,0000
equilibrista;1,0000
descubrimos;,0000
muera;-1,0000
trece;,0000
adherimos;1,0000
finan;1,0000
sentandolo;1,0000
alegre;1,0000
escalas;1,0000
miren;,0000
matado;-1,0000
aplastante;-1,0000
hurt;1,0000
hicieron;,0000
matiza;-1,0000
controlado;,0000
experimentar;1,0000
anexo;,0000
fijadas;1,0000
acogiendo;1,0000
tazas;,0000
particular;,0000
conquistarlos;1,0000
estupidos;1,0000
fallaba;-1,0000
clase;,0000
region;,0000
efectividad;,0000
cortes;,0000
aprenderla;1,0000
mananaantes;1,0000
mande;,0000
quemada;1,0000
timidos;1,0000
cotidiano;1,0000
farmaceutica;1,0000
apetecen;,0000
resbalar;1,0000
aumentado;,0000
are;,0000
jodida;1,0000
helicopteros;,0000
histrionismo;1,0000
dira;,0000
defendemos;,0000
donan;,0000
canijo;,0000
disuadirlos;1,0000
situara;1,0000
ensayo;,0000
espera;,0000
valorara;1,0000
pegadas;1,0000
acompanadas;1,0000
finca;-1,0000
descripcion;,0000
llamativo;,0000
depilar;1,0000
arresta;-1,0000
decision;,0000
putada;,0000
avisado;,0000
depredador;1,0000
descorazonado;1,0000
amas;1,0000
expropiacion;1,0000
regalado;1,0000
intervenciones;,0000
cicatrices;-1,0000
gusanos;1,0000
sucias;-1,0000
alerto;,0000
catedratico;,0000
necesitar;,0000
competitivos;1,0000
agit;1,0000
sustituido;,0000
avanzando;1,0000
editan;1,0000
menores;,0000
revento;1,0000
fechas;,0000
blandiendo;1,0000
interesantisimas;1,0000
calculen;,0000
echaremos;,0000
retratista;1,0000
administradora;1,0000
deslizamiento;1,0000
peleandose;1,0000
toxicos;-1,0000
futuras;,0000
conjuntamente;1,0000
homenajeando;1,0000
anunciar;-1,0000
prestamo;-1,0000
politicamente;-1,0000
mimos;1,0000
hospedan;1,0000
preventivo;,0000
titularme;1,0000
acorta;-1,0000
lucia;,0000
marcan;,0000
jugar;,0000
respetos;1,0000
gamberros;-1,0000
envolvente;,0000
aleman;,0000
vina;,0000
neutrales;,0000
viajas;1,0000
mostraban;1,0000
contentos;1,0000
mentiras;-1,0000
vulneren;1,0000
registrados;-1,0000
vestimos;1,0000
temblor;-1,0000
alimentado;1,0000
materno;-1,0000
descuida;1,0000
rapidamente;,0000
fundido;-1,0000
guardarselo;1,0000
abolidos;1,0000
deteriorar;1,0000
construyeron;1,0000
ensenaban;1,0000
eternos;1,0000
tocada;-1,0000
proyeccion;,0000
libre;1,0000
personalizada;1,0000
olvidadas;,0000
juicios;,0000
remuneraciones;1,0000
pal;,0000
sobraba;1,0000
adaptara;1,0000
desmemoria;,0000
quitarle;,0000
precarios;-1,0000
bebidas;1,0000
insolvente;1,0000
reputado;1,0000
aranar;,0000
portada;,0000
prefiere;,0000
dejaba;-1,0000
pastelada;1,0000
transportistas;1,0000
titan;,0000
imponente;1,0000
salon;,0000
maestro;1,0000
vale;,0000
resumen;,0000
gafe;-1,0000
implacable;1,0000
espantada;-1,0000
aliento;1,0000
aparecidos;1,0000
subvencionadas;1,0000
encontrar;,0000
compet;1,0000
empatamos;1,0000
imparables;,0000
abrir;,0000
vecinos;,0000
vegetacion;1,0000
escriban;-1,0000
magna;,0000
chateas;1,0000
vapor;1,0000
crack;1,0000
liberarme;1,0000
ruego;1,0000
exageradamente;-1,0000
causen;1,0000
digas;,0000
bastante;,0000
vega;,0000
pillado;,0000
usen;-1,0000
voto;,0000
escudarse;-1,0000
discutir;,0000
heredados;1,0000
volviendo;,0000
fake;,0000
ocurrente;1,0000
primar;,0000
optima;1,0000
ineludible;1,0000
villancico;1,0000
aislada;-1,0000
expresiones;,0000
dificiles;,0000
deforma;1,0000
marc;,0000
resulta;-1,0000
beautiful;1,0000
admirada;1,0000
separaran;1,0000
provoco;-1,0000
oscuros;,0000
politicas;,0000
formando;,0000
salvaremos;1,0000
agrega;1,0000
investigaran;,0000
engrandece;1,0000
destituya;1,0000
incumplir;-1,0000
odiamos;1,0000
eutanasia;,0000
aplace;1,0000
necesitan;,0000
test;,0000
sure;1,0000
realizara;1,0000
juridicamente;1,0000
millonarias;,0000
victimista;1,0000
flotando;1,0000
formas;,0000
escrupulosa;1,0000
inamovible;1,0000
pudieron;-1,0000
negra;,0000
irrelevantes;1,0000
alterado;1,0000
esquemas;1,0000
gobiernen;-1,0000
diariamente;1,0000
inquisicion;,0000
deliberar;1,0000
navegar;1,0000
republicana;,0000
mete;,0000
inaceptables;1,0000
acerca;,0000
senaladas;1,0000
alargo;1,0000
tolerancia;,0000
deseaba;1,0000
oso;,0000
retenido;,0000
conjetura;1,0000
entrevistada;1,0000
navarros;,0000
premio;1,0000
apoyas;1,0000
afilan;,0000
ofende;-1,0000
objetivas;-1,0000
chino;-1,0000
debatan;-1,0000
destrozarles;1,0000
destruyeron;,0000
descendido;,0000
enternecido;1,0000
adiestramiento;1,0000
castiga;-1,0000
nausea;1,0000
malaria;-1,0000
pareciendose;1,0000
tercer;,0000
encantador;1,0000
callamos;1,0000
proclama;,0000
amotinan;1,0000
irresponsable;-1,0000
pajes;,0000
recados;1,0000
cantan;,0000
reclamada;1,0000
dioses;,0000
trasladaran;1,0000
tomandonos;1,0000
ingrata;-1,0000
comido;,0000
juridica;,0000
superaran;1,0000
absolvieran;1,0000
reventarla;1,0000
superficial;1,0000
enderezar;1,0000
despacho;,0000
convertibles;,0000
insistiendo;-1,0000
chicoes;1,0000
misas;,0000
asiduidad;1,0000
fisura;,0000
modernas;1,0000
occidentees;1,0000
historiadores;,0000
pelar;-1,0000
denunciara;-1,0000
principado;,0000
improvisada;1,0000
cientifico;,0000
generalmente;1,0000
insulte;,0000
tiburon;-1,0000
optico;1,0000
autoritarismo;-1,0000
bienintencionado;1,0000
replicar;1,0000
ibero;1,0000
casto;1,0000
colas;,0000
valore;1,0000
beca;,0000
comerciaran;1,0000
llamarlo;1,0000
solazo;,0000
cenas;,0000
reincidentes;,0000
segundas;,0000
inverosimiles;1,0000
encontrado;,0000
ideologa;1,0000
contarlas;1,0000
contrastados;1,0000
imitar;,0000
ofender;-1,0000
eventual;,0000
experiencias;,0000
darla;1,0000
mecheros;1,0000
dramatico;,0000
aprobados;,0000
gitana;-1,0000
apruebo;1,0000
saludaron;1,0000
homenajeamos;1,0000
julio;,0000
mocos;1,0000
fiare;1,0000
maltratado;1,0000
arrasando;1,0000
expoliado;1,0000
mitigan;1,0000
promulgo;1,0000
