"","corrupto"
"recuperar",0.02
"reelección",0.02
"reflexionar",0.02
"reforzada",0.02
"regaló",0.02
"regímenes",0.02
"reglamentario",0.02
"regulaciones",0.02
"reivindican",0.02
"renglones",0.02
"rentable",0.02
"renunciar",0.02
"reparten",0.02
"represiva",0.02
"repudio",0.02
"reseñó",0.02
"reside",0.02
"respaldar",0.02
"respondan",0.02
"respuestas",0.02
"restricciones",0.02
"retirando",0.02
"retractación",0.02
"retractó",0.02
"retrovisor",0.02
"revelaciones",0.02
"rivero",0.02
"rodea",0.02
"sac",0.02
"saldrá",0.02
"sale",0.02
"salen",0.02
"samper",0.02
"samuel",0.02
"sancionar",0.02
"santos",0.02
"sed",0.02
"sendero",0.02
"señora",0.02
"sentí",0.02
"seremos",0.02
"serpiente",0.02
"sexualidad",0.02
"sientan",0.02
"siguió",0.02
"silla",0.02
"silvia",0.02
"sindicalistas",0.02
"sirve",0.02
"sistemáticos",0.02
"socios",0.02
"sogamoso",0.02
"sometidas",0.02
"sometió",0.02
"soneto",0.02
"sudamericano",0.02
"suegra",0.02
"sueldos",0.02
"sujetas",0.02
"superamos",0.02
"suprema",0.02
"suramérica",0.02
"tácticas",0.02
"ten",0.02
"tenerlos",0.02
"termino",0.02
"tesis",0.02
"textualmente",0.02
"tiemblen",0.02
"tolerancia",0.02
"tomas",0.02
"tome",0.02
"trabaje",0.02
"traído",0.02
"trampa",0.02
"tramposo",0.02
"tranquilamente",0.02
"transformará",0.02
"tránsito",0.02
"trascendencia",0.02
"trasnacional",0.02
"turno",0.02
"unidos",0.02
"universitarias",0.02
"usadas",0.02
"usos",0.02
"valoró",0.02
"vásquez",0.02
"vélez",0.02
"vencer",0.02
"versus",0.02
"viejas",0.02
"vivanco",0.02
"voa",0.02
"vómito",0.02
"votando",0.02
"vote",0.02
"watch",0.02
"108",0.01
"159",0.01
"1992",0.01
"1995",0.01
"1996",0.01
"2010",0.01
"2014",0.01
"300x180",0.01
"abandonado",0.01
"abandonar",0.01
"abiertamente",0.01
"aborto",0.01
"abre",0.01
"abren",0.01
"abril",0.01
"abuelo",0.01
"abusar",0.01
"académicos",0.01
"accidentado",0.01
"acción",0.01
"aceptar",0.01
"acercamiento",0.01
"acérquese",0.01
"ácido",0.01
"acompáñenos",0.01
"acordar",0.01
"acusaciones",0.01
"acusadas",0.01
"acusó",0.01
"adecuada",0.01
"adelantadas",0.01
"adelantado",0.01
"adentro",0.01
"adjunto",0.01
"adopte",0.01
"afecta",0.01
"afecto",0.01
"afiliado",0.01
"afirmación",0.01
"afirmando",0.01
"afrodescendientes",0.01
"agrega",0.01
"ajustar",0.01
"alcaldes",0.01
"aleja",0.01
"alemania",0.01
"alguien",0.01
"alineados",0.01
"alma",0.01
"alvarado",0.01
"alvarouribevel",0.01
"amapola",0.01
"ambulancias",0.01
"amenazado",0.01
"américa",0.01
"américas",0.01
"amigos",0.01
"análisis",0.01
"and",0.01
"anotó",0.01
"anti",0.01
"anticipó",0.01
"antigua",0.01
"antiguo",0.01
"anuncia",0.01
"ányelo",0.01
"aplican",0.01
"aportes",0.01
"apoyo",0.01
"apreciados",0.01
"aprende",0.01
"apropiarse",0.01
"aprovechar",0.01
"araújo",0.01
"armitage",0.01
"arquero",0.01
"arranca",0.01
"arreglo",0.01
"arremete",0.01
"arrojó",0.01
"articular",0.01
"asegurando",0.01
"asesinar",0.01
"asesinos",0.01
"asia",0.01
"asistencia",0.01
"asistir",0.01
"atacan",0.01
"ataques",0.01
"atentan",0.01
"atribuye",0.01
"atribuyó",0.01
"auc",0.01
"[audio]",0.01
"audios",0.01
"aumentó",0.01
"autoridad",0.01
"avalar",0.01
"avance",0.01
"avances",0.01
"ayudado",0.01
"bahía",0.01
"bananera",0.01
"barack",0.01
"básica",0.01
"basta",0.01
"batista",0.01
"bejarano",0.01
"beneficiario",0.01
">>bit",0.01
"bluradio",0.01
"bogotá",0.01
"brazos",0.01
"brevedad",0.01
"brindar",0.01
"burocracia",0.01
"buscar",0.01
"buscará",0.01
"caballero",0.01
"cabezas",0.01
"caer",0.01
"calle",0.01
"cambiado",0.01
"caminando",0.01
"campaña",0.01
"canal",0.01
"candidato",0.01
"candidatura",0.01
"caprecom",0.01
"cara",0.01
"caracoltv",0.01
"caras",0.01
"cárcel",0.01
"caricatura",0.01
"caricaturas",0.01
"caro",0.01
"carrusel",0.01
"cartas",0.01
"casa",0.01
"casos",0.01
"castañeda",0.01
"castiga",0.01
"castillo",0.01
"causa",0.01
"causales",0.01
"cecilia",0.01
"celdas",0.01
"celebrar",0.01
"centro",0.01
"cercano",0.01
"cercanos",0.01
"cerradas",0.01
"cerrado",0.01
"chamorro",0.01
"chatarra",0.01
"chistes",0.01
"cia",0.01
"científica",0.01
"cierran",0.01
"citando",0.01
"ciudadanía",0.01
"civil",0.01
"civiles",0.01
"clasificación",0.01
"cobre",0.01
"cocina",0.01
"coimas",0.01
"colaboración",0.01
"colectivos",0.01
"colegas",0.01
"colombia",0.01
"colombianos",0.01
"columna",0.01
"combatir",0.01
"comentario",0.01
"comete",0.01
"comience",0.01
"comparte",0.01
"completa",0.01
"cómplices",0.01
"comprensión",0.01
"compró",0.01
"comprobarse",0.01
"comprometido",0.01
"comprometidos",0.01
"compromiso",0.01
"comprueba",0.01
"comunicación",0.01
"concedió",0.01
"concejal",0.01
"concejales",0.01
"concepción",0.01
"concertación",0.01
"conciencia",0.01
"concluir",0.01
"conclusión",0.01
"concluyó",0.01
"concretamente",0.01
"concretas",0.01
"condenar",0.01
"condenatorias",0.01
"condene",0.01
"condición",0.01
"confianza",0.01
"confirman",0.01
"congresistas",0.01
"conjurar",0.01
"conlaorejaroja",0.01
"conmebol",0.01
"consecuencias",0.01
"conseguido",0.01
"consejo",0.01
"conservador",0.01
"conservadora",0.01
"conservadores",0.01
"considerado",0.01
"considerados",0.01
"considerar",0.01
"consume",0.01
"contactos",0.01
"contar",0.01
"contexto",0.01
"continua",0.01
"continuaron",0.01
"contradicción",0.01
"contrario",0.01
"contravía",0.01
"contribución",0.01
"contribuido",0.01
"controles",0.01
"conveniencia",0.01
"convirtiendo",0.01
"convirtieron",0.01
"cooperación",0.01
"cooperar",0.01
"coordinar",0.01
"copia",0.01
"copias",0.01
"corazón",0.01
"cordial",0.01
"cordillera",0.01
"corre",0.01
"correcto",0.01
"corredor",0.01
"corregir",0.01
"corriente",0.01
"corruptelas",0.01
"corta",0.01
"corte",0.01
"costó",0.01
"creado",0.01
"crear",0.01
"crecer",0.01
"creó",0.01
"creyente",0.01
"critica",0.01
"criticar",0.01
"críticos",0.01
"crónica",0.01
"crucial",0.01
"cruzados",0.01
"cubana",0.01
"cubanos",0.01
"cuello",0.01
"cuente",0.01
"cuestionada",0.01
"cultivo",0.01
"cura",0.01
"cuyo",0.01
"daniel",0.01
"darle",0.01
"dávila",0.01
"dea",0.01
"deber",0.01
"deberes",0.01
"deberían",0.01
"debida",0.01
"debo",0.01
"decenas",0.01
"decía",0.01
"decidir",0.01
"decirlo",0.01
"declaró",0.01
"dedicado",0.01
"dedicó",0.01
"defendiendo",0.01
"defienden",0.01
"dejamos",0.01
"dejando",0.01
"dejen",0.01
"demostrado",0.01
"denunciando",0.01
"departamento",0.01
"dependencia",0.01
"deponer",0.01
"derecho",0.01
"derogar",0.01
"derrota",0.01
"desacuerdo",0.01
"desafío",0.01
"desafíos",0.01
"desarrollado",0.01
"desarrollando",0.01
"descarga",0.01
"descartan",0.01
"descartar",0.01
"desempeñado",0.01
"desempeñó",0.01
"desempleo",0.01
"deslegitima",0.01
"desmintió",0.01
"desplazarse",0.01
"destaca",0.01
"destapó",0.01
"destinadas",0.01
"destino",0.01
"destituido",0.01
"destruye",0.01
"desviación",0.01
"desviar",0.01
"detalles",0.01
"diálogos",0.01
"diciendo",0.01
"dictatorial",0.01
"diferenciado",0.01
"diferencias",0.01
"difícil",0.01
"digna",0.01
"dignidad",0.01
"dimos",0.01
"dineros",0.01
"diplomático",0.01
"directivas",0.01
"directores",0.01
"diría",0.01
"dirigido",0.01
"disculpa",0.01
"discursos",0.01
"discutido",0.01
"discutió",0.01
"diseñada",0.01
"disidentes",0.01
"distinta",0.01
"distinto",0.01
"disuadir",0.01
"diversos",0.01
"doctor",0.01
"doméstico",0.01
"drogas",0.01
"duda",0.01
"duramente",0.01
"duros",0.01
"económicos",0.01
"edgar",0.01
"educativas",0.01
"educativo",0.01
"efectivas",0.01
"efectivos",0.01
"ejecutiva",0.01
"ejemplos",0.01
"elección",0.01
"elecciones",0.01
"electoral",0.01
"elespectador",0.01
"emergentes",0.01
"empero",0.01
"empezar",0.01
"encabezó",0.01
"encarcelamiento",0.01
"enfatizó",0.01
"enfermedades",0.01
"entender",0.01
"entreguen",0.01
"enviada",0.01
"envió",0.01
"época",0.01
"épocas",0.01
"equipo",0.01
"equivale",0.01
"ernesto",0.01
"errores",0.01
"escandalo",0.01
"escándalos",0.01
"escrito",0.01
"escritos",0.01
"escuchado",0.01
"escuelas",0.01
"esfuerzo",0.01
"específico",0.01
"esperando",0.01
"espíritu",0.01
"estabilidad",0.01
"establecida",0.01
"estadounidense",0.01
"estaremos",0.01
"estás",0.01
"estatus",0.01
"estimula",0.01
"estrategia",0.01
"estudia",0.01
"estudio",0.01
"ética",0.01
"europa",0.01
"evento",0.01
"evidencian",0.01
"exámenes",0.01
"excandidata",0.01
"excelente",0.01
"exceso",0.01
"exclusivamente",0.01
"excusa",0.01
"exfutbolista",0.01
"exige",0.01
"exigen",0.01
"exigimos",0.01
"expansión",0.01
"expedir",0.01
"exportero",0.01
"expresado",0.01
"expresar",0.01
"expresidente",0.01
"expuesta",0.01
"expuso",0.01
"exsenadora",0.01
"exterior",0.01
"extraña",0.01
"facebook",0.01
"fácil",0.01
"fallecido",0.01
"famosa",0.01
"federación",0.01
"felices",0.01
"ferrer",0.01
"ferro",0.01
"fianza",0.01
"ficción",0.01
"fiel",0.01
"filipinas",0.01
"financiación",0.01
"fiscalización",0.01
"físicos",0.01
"flagelo",0.01
"flor",0.01
"flujo",0.01
"fondo",0.01
"formar",0.01
"formuló",0.01
"fotomultas",0.01
"fracaso",0.01
"frágil",0.01
"franco",0.01
"frecuencia",0.01
"frenó",0.01
"fronteras",0.01
"frutos",0.01
"fuertemente",0.01
"función",0.01
"fundamentales",0.01
"fusil",0.01
"fútbol",0.01
"futura",0.01
"futuro",0.01
"ganaba",0.01
"ganan",0.01
"ganó",0.01
"gbno",0.01
"genera",0.01
"gobernadores",0.01
"gobernar",0.01
"gobierno",0.01
"golpes",0.01
"golpista",0.01
"grabación",0.01
"grabaciones",0.01
"grado",0.01
"grave",0.01
"gravemente",0.01
"gremio",0.01
"gremios",0.01
"guatemaltecos",0.01
"guía",0.01
"haberle",0.01
"habido",0.01
"habilidades",0.01
"hablamos",0.01
"hablar",0.01
"hacerla",0.01
"hectáreas",0.01
"herramientas",0.01
"heterosexuales",0.01
"hijas",0.01
"hijos",0.01
"hoja",0.01
"honor",0.01
"honorable",0.01
"horizonte",0.01
"hrw",0.01
">>http",0.01
"huele",0.01
"humana",0.01
"humanos",0.01
"humberto",0.01
"humorista",0.01
"ideal",0.01
"identidades",0.01
"identificaron",0.01
"ido",0.01
"imagen",0.01
"imagina",0.01
"impedido",0.01
"impiden",0.01
"implacable",0.01
"implicación",0.01
"impone",0.01
"importante",0.01
"importantes",0.01
"impresionante",0.01
"impresiones",0.01
"impuestos",0.01
"impulsada",0.01
"impuso",0.01
"incapaz",0.01
"incautados",0.01
"incentivos",0.01
"inclusive",0.01
"incluyendo",0.01
"incorporación",0.01
"incorporar",0.01
"incurrido",0.01
"independencia",0.01
"independientemente",0.01
"individuo",0.01
"individuos",0.01
"inestable",0.01
"informal",0.01
"ingresa",0.01
"iniciativa",0.01
"instalaron",0.01
"instaló",0.01
"insurgencia",0.01
"intereses",0.01
"internacional",0.01
"interrogantes",0.01
"intervención",0.01
"intimidación",0.01
"intimidó",0.01
"intolerancia",0.01
"introdujo",0.01
"inútil",0.01
"invento",0.01
"investigue",0.01
"investiguen",0.01
"invita",0.01
"invitación",0.01
"invito",0.01
"invitó",0.01
"involucran",0.01
"irresponsable",0.01
"italiano",0.01
"izquierda",0.01
"jefatura",0.01
"jefe",0.01
"jerónimo",0.01
"john",0.01
"jornada",0.01
"jose",0.01
"judicialización",0.01
"juegos",0.01
"jugando",0.01
"julián",0.01
"juristas",0.01
"justa",0.01
"justas",0.01
"justicia",0.01
"justifica",0.01
"laboratorio",0.01
"lágrimas",0.01
"lamentable",0.01
"lanzar",0.01
"latinoamericana",0.01
"latinoamericanos",0.01
"lealtad",0.01
"lección",0.01
"lectura",0.01
"leer",0.01
"legisladores",0.01
"lenguaje",0.01
"leo",0.01
"leonardo",0.01
"leonidas",0.01
"liberados",0.01
"liberal",0.01
"libremente",0.01
"liderado",0.01
"liderar",0.01
"limitaciones",0.01
"listos",0.01
"llamado",0.01
"llamados",0.01
"llaman",0.01
"llamando",0.01
"llegan",0.01
"lleguen",0.01
"llevamos",0.01
"llyons",0.01
"lógica",0.01
"logrado",0.01
"lograr",0.01
"logre",0.01
"lucha",0.01
"luchan",0.01
"luchar",0.01
"luisa",0.01
"macías",0.01
"macondo",0.01
"maduro",0.01
"malas",0.01
"maleta",0.01
"malos",0.01
"mañana",0.01
"mandato",0.01
"mantener",0.01
"mantenerse",0.01
"mantenimiento",0.01
"manto",0.01
"mantuvo",0.01
"maradona",0.01
"marca",0.01
"marcha",0.01
"marchan",0.01
"marchar",0.01
"marchas",0.01
"maria",0.01
"marín",0.01
"martes",0.01
"mata",0.01
"matador",0.01
"matando",0.01
"matar",0.01
"matrimonio",0.01
"máximo",0.01
"mayoría",0.01
"mediodía",0.01
"mejorar",0.01
"mendonça",0.01
"mensaje",0.01
"mensajes",0.01
"mentiras",0.01
"metal",0.01
"metástasis",0.01
"michel",0.01
"miedo",0.01
"miles",0.01
"millón",0.01
"minorías",0.01
"miras",0.01
"modificación",0.01
"mortal",0.01
"motivo",0.01
"motivos",0.01
"movilizaciones",0.01
"muestras",0.01
"mueve",0.01
"mutuo",0.01
"nariño",0.01
"necesaria",0.01
"necesariamente",0.01
"negación",0.01
"negaron",0.01
"negó",0.01
"negocia",0.01
"negociado",0.01
"negocio",0.01
"neira",0.01
"neiva",0.01
"néstor",0.01
"niño",0.01
"nombrar",0.01
"nombró",0.01
"noticiasrcn",0.01
"novela",0.01
"nuevamente",0.01
"núñez",0.01
"obama",0.01
"obligada",0.01
"observatorio",0.01
"obstáculo",0.01
"obstante",0.01
"obtención",0.01
"ocasión",0.01
"odebrecht",0.01
"oficialmente",0.01
"oído",0.01
"olvida",0.01
"operar",0.01
"opinan",0.01
"opiniones",0.01
"oportuna",0.01
"oportunidades",0.01
"oportunista",0.01
"ordena",0.01
"ordenamiento",0.01
"oreja",0.01
"organizar",0.01
"orozco",0.01
"ortega",0.01
"ospina",0.01
"otorga",0.01
"padres",0.01
"paga",0.01
"página",0.01
"países",0.01
"paloquemao",0.01
"pareció",0.01
"párrafo",0.01
"participa",0.01
"participe",0.01
"partido",0.01
"pasa",0.01
"pasaporte",0.01
"pasaron",0.01
"pastor",0.01
"pastrana",0.01
"patricia",0.01
"paulo",0.01
"pecados",0.01
"pedagogía",0.01
"pedido",0.01
"pena",0.01
"pendiente",0.01
"pensamiento",0.01
"pensamos",0.01
"pensó",0.01
"pequeña",0.01
"perdieron",0.01
"pereira",0.01
"periódico",0.01
"periodístico",0.01
"permanentemente",0.01
"permitiría",0.01
"perseguidos",0.01
"persona",0.01
"personaje",0.01
"personajes",0.01
"pertenece",0.01
"peruana",0.01
"pésimo",0.01
"peso",0.01
"pide",0.01
"pidiendo",0.01
"pido",0.01
"pie",0.01
"piedad",0.01
"pierde",0.01
"piezas",0.01
"plagio",0.01
"plano",0.01
"plata",0.01
"plazo",0.01
"pluralismo",0.01
"pobres",0.01
"poderoso",0.01
"podía",0.01
"políticas",0.01
"político",0.01
"politiquero",0.01
"polo",0.01
"ponerle",0.01
"ponga",0.01
"popayán",0.01
"portada",0.01
"posesión",0.01
"posiblemente",0.01
"positivamente",0.01
"prácticas",0.01
"precandidatos",0.01
"precisiones",0.01
"prematuro",0.01
"prendas",0.01
"prensa",0.01
"preocupados",0.01
"prepara",0.01
"presentará",0.01
"presenten",0.01
"presidenciales",0.01
"presidente",0.01
"presidentes",0.01
"preso",0.01
"preventivas",0.01
"previsiones",0.01
"primicia",0.01
"principios",0.01
"privacidad",0.01
"privado",0.01
"privados",0.01
"pro",0.01
"procedente",0.01
"proceder",0.01
"proclama",0.01
"producido",0.01
"producir",0.01
"profesores",0.01
"profundo",0.01
"progresivo",0.01
"prohíbe",0.01
"promotor",0.01
"promover",0.01
"pronta",0.01
"pronunciamiento",0.01
"propiciar",0.01
"proponen",0.01
"protestar",0.01
"proveniente",0.01
"proviene",0.01
"provincia",0.01
"publicadas",0.01
"publicaron",0.01
"publicidad",0.01
"público",0.01
"pudieron",0.01
"puedes",0.01
"puesto",0.01
"pulpo",0.01
"purga",0.01
"quedará",0.01
"quede",0.01
"queden",0.01
"quería",0.01
"quieran",0.01
"químicos",0.01
"quisiera",0.01
"quita",0.01
"radicada",0.01
"ramírez",0.01
"rápida",0.01
"rastro",0.01
"razón",0.01
"reacciones",0.01
"realizan",0.01
"rebajas",0.01
"recaudar",0.01
"rechazo",0.01
"rechazó",0.01
"reciban",0.01
"recogiendo",0.01
"reconocimiento",0.01
"recordemos",0.01
"recordó",0.01
"recta",0.01
"rectificar",0.01
"recuerde",0.01
"redacción",0.01
"referente",0.01
"refirió",0.01
"reforzar",0.01
"regla",0.01
"reglamenta",0.01
"reglamento",0.01
"regresar",0.01
"reinserción",0.01
"reiteran",0.01
"rejas",0.01
"relaciona",0.01
"relaciones",0.01
"religiosas",0.01
"renuncia",0.01
"representan",0.01
"resalta",0.01
"rescatar",0.01
"resolverse",0.01
"respaldan",0.01
"respete",0.01
"responda",0.01
"respuesta",0.01
"restantes",0.01
"restringe",0.01
"reto",0.01
"retoma",0.01
"retos",0.01
"reunirse",0.01
"revelar",0.01
"revés",0.01
"revista",0.01
"rights",0.01
"robarse",0.01
"rock",0.01
"roja",0.01
"rojas",0.01
"rompió",0.01
"rueda",0.01
"ruiz",0.01
"sabíamos",0.01
"sacar",0.01
"salido",0.01
"salpica",0.01
"salpicado",0.01
"salpicados",0.01
"salvador",0.01
"santiago",0.01
"santistas",0.01
"santo",0.01
"sao",0.01
"sección",0.01
"secretario",0.01
"secuestrar",0.01
"seguida",0.01
"seguir",0.01
"seguramente",0.01
"sello",0.01
"sencilla",0.01
"sentido",0.01
"sentimiento",0.01
"sepan",0.01
"septiembre",0.01
"séptimo",0.01
"serlo",0.01
"servirá",0.01
"sexo",0.01
"sexual",0.01
"sicario",0.01
"siglo",0.01
"siguientes",0.01
"silencio",0.01
"similares",0.01
"simple",0.01
"simplemente",0.01
"simples",0.01
"sindicatos",0.01
"sinónimo",0.01
"sirven",0.01
"sirvió",0.01
"sistema",0.01
"sistemático",0.01
"situación",0.01
"soborno",0.01
"socialistas",0.01
"sociedad",0.01
"sofía",0.01
"sonado",0.01
"sospechosa",0.01
"sube",0.01
"sudamérica",0.01
"sueños",0.01
"suficiente",0.01
"suicidio",0.01
"sumar",0.01
"superficie",0.01
"supo",0.01
"supuestas",0.01
"surgió",0.01
"suroeste",0.01
"suspendida",0.01
"tapar",0.01
"tareas",0.01
"tema",0.01
"temer",0.01
"tendencias",0.01
"teníamos",0.01
"teniendo",0.01
"tentáculos",0.01
"termina",0.01
"terminará",0.01
"termine",0.01
"terremoto",0.01
"terribles",0.01
"tiempos",0.01
"titulado",0.01
"tocó",0.01
"tomará",0.01
"tono",0.01
"tovar",0.01
"tóxico",0.01
"tradicional",0.01
"traer",0.01
"traficantes",0.01
"tranquilidad",0.01
"transmilenio",0.01
"transmisión",0.01
"transparencia",0.01
"tributarios",0.01
"trinos",0.01
"tumbar",0.01
"tuviera",0.01
"ultimátum",0.01
"unen",0.01
"única",0.01
"uniformes",0.01
"unión",0.01
"universal",0.01
"universidades",0.01
"urgen",0.01
"urgencias",0.01
"uri",0.01
"uribismo",0.01
"uribista",0.01
"uruguay",0.01
"utilizan",0.01
"valores",0.01
"vanguardia",0.01
"varón",0.01
"vas",0.01
"vean",0.01
"venezuela",0.01
"venga",0.01
"ventaja",0.01
"verdad",0.01
"verdaderos",0.01
"verde",0.01
"vergüenza",0.01
"vicente",0.01
"vicky",0.01
"viento",0.01
"vieron",0.01
"vincula",0.01
"violado",0.01
"violadores",0.01
"visitó",0.01
"vistos",0.01
"vivienda",0.01
"vivimos",0.01
"vivió",0.01
"vocero",0.01
"voluntarios",0.01
"volverán",0.01
"vuelta",0.01
"vuelva",0.01
"vulnerables",0.01
"vulneración",0.01
"xxi",0.01
"yopal",0.01
"zar",0.01
"100",0
"200",0
"2003",0
"2005",0
"2006",0
"2007",0
"2011",0
"2015",0
"2016",0
"700",0
"800",0
"absoluto",0
"abusos",0
"acaba",0
"acceso",0
"acepta",0
"acerca",0
"acompañado",0
"actividad",0
"acto",0
"actores",0
"actos",0
"actualidad",0
"actuar",0
"acusación",0
"acusada",0
"acusan",0
"administración",0
"admitió",0
"adopción",0
"advierten",0
"advirtió",0
"afectan",0
"afectar",0
"afirma",0
"aforados",0
"agenda",0
"ajustes",0
"alcalde",0
"alcanzar",0
"alianza",0
"alta",0
"altas",0
"alvaro",0
"ambiente",0
"amenazan",0
"americana",0
"amigo",0
"amor",0
"ampliación",0
"añade",0
"angélica",0
"antioqueño",0
"antonio",0
"anual",0
"anunciado",0
"aparece",0
"aparecen",0
"apartamento",0
"apropiación",0
"áreas",0
"argentina",0
"armado",0
"artículo",0
"artista",0
"asegura",0
"asesino",0
"asilo",0
"asunto",0
"asuntos",0
"atentar",0
"atrás",0
"autor",0
"autores",0
"aval",0
"avanzar",0
"bajar",0
"banca",0
"bancada",0
"barreras",0
"brasil",0
"brasileño",0
"brasilera",0
"brownfield",0
"bucaramanga",0
"buenaventura",0
"bustos",0
"calidad",0
"calificó",0
"calles",0
"cambiar",0
"cambio",0
"cambios",0
"camino",0
"campañas",0
"campesinos",0
"cáncer",0
"capitán",0
"capo",0
"capturado",0
"capturaron",0
"caribe",0
"carlos",0
"carolina",0
"carreteras",0
"carrillo",0
"carteles",0
"castigo",0
"catalina",0
"categoría",0
"causas",0
"cdn",0
"cdn3",0
"celebra",0
"celebró",0
"cerrar",0
"chávez",0
"chocó",0
"ciencia",0
"cientos",0
"cita",0
"citado",0
"citó",0
"ciudadana",0
"ciudadano",0
"ciudadanos",0
"claridad",0
"clínica",0
"cne",0
"coca",0
"colegio",0
"colegios",0
"colombiana",0
"colombiano",0
"comandante",0
"comenzar",0
"comercial",0
"comida",0
"comienzo",0
"comité",0
"compañías",0
"completo",0
"concepto",0
"condenas",0
"condicional",0
"condiciones",0
"conducta",0
"conferencia",0
"confirmó",0
"conflictos",0
"conoce",0
"conocida",0
"conocido",0
"consideran",0
"consolidar",0
"constitución",0
"constituye",0
"construcciones",0
"consumo",0
"contamos",0
"contempla",0
"continúan",0
"contrarrestar",0
"contratistas",0
"control",0
"conversación",0
"convivencia",0
"convocar",0
"convocatoria",0
"copa",0
"córdoba",0
"corresponde",0
"cortes",0
"creación",0
"crecimiento",0
"cree",0
"criminal",0
"cristiano",0
"cristina",0
"críticas",0
"cruz",0
"cuerpos",0
"culpables",0
"cultura",0
"cultural",0
"cumplen",0
"cumplido",0
"cumplió",0
"cuyos",0
"das",0
"debates",0
"debemos",0
"debería",0
"década",0
"decreto",0
"defensores",0
"define",0
"definir",0
"deja",0
"democracia",0
"democrática",0
"demostrar",0
"demuestra",0
"den",0
"denuncias",0
"derecha",0
"desarrollo",0
"desconoce",0
"detector",0
"detención",0
"detenido",0
"dichas",0
"dificultades",0
"dilma",0
"dinero",0
"dios",0
"diputado",0
"dirección",0
"discriminación",0
"dispositivo",0
"distintos",0
"diversas",0
"doble",0
"dorado",0
"dudas",0
"dueños",0
"duradera",0
"economía",0
"económicas",0
"económico",0
"editorialec",0
"eeuu",0
"eficacia",0
"ejercicio",0
"elegido",0
"élite",0
"embarazadas",0
"emitido",0
"empezó",0
"empieza",0
"encargado",0
"encontraban",0
"encuentro",0
"enfermedad",0
"enfoque",0
"enrique",0
"entra",0
"entrar",0
"entregado",0
"entregar",0
"entró",0
"envían",0
"enviar",0
"erradicar",0
"error",0
"escenario",0
"escenarios",0
"escobar",0
"escolares",0
"escuchar",0
"especial",0
"especialmente",0
"esperan",0
"esposa",0
"esposo",0
"establecimiento",0
"establecimientos",0
"estación",0
"estarán",0
"estén",0
"estructural",0
"estudiantes",0
"estuvieron",0
"evasión",0
"eventos",0
"excepción",0
"exclusiva",0
"exfuncionario",0
"exgobernador",0
"éxito",0
"exjefe",0
"exmandatario",0
"explica",0
"explicar",0
"expresa",0
"expresidentes",0
"extradición",0
"fallo",0
"familias",0
"favor",0
"febrero",0
"fecha",0
"figura",0
"finalmente",0
"firmado",0
"firmó",0
"fiscalía",0
"formación",0
"formas",0
"frenar",0
"frente",0
"from",0
"fronteriza",0
"fuente",0
"fuerte",0
"fuertes",0
"funciona",0
"funcionaria",0
"gabriel",0
"gallup",0
"gamarra",0
"garantía",0
"gasto",0
"gay",0
"generan",0
"gina",0
"giraldo",0
"global",0
"gobiernos",0
"grande",0
"guajira",0
"gubernamentales",0
"guerra",0
"guerrilla",0
"guerrillero",0
"guzmán",0
"habana",0
"hablando",0
"habló",0
"hacerle",0
"hacker",0
"haga",0
"hagan",0
"hayan",0
"helicóptero",0
"herida",0
"hermanos",0
"homosexuales",0
"hora",0
"hospitales",0
">http",0
"humor",0
"ideología",0
"igualdad",0
"imponer",0
"imposible",0
"impulso",0
"impunidad",0
"incautadas",0
"incluir",0
"indagación",0
"indígenas",0
"industria",0
"influencia",0
"informar",0
"ingreso",0
"iniciativas",0
"inició",0
"inmediata",0
"inocencia",0
"insistió",0
"interbolsa",0
"interno",0
"investigación",0
"investigada",0
"investigados",0
"investigan",0
"investigar",0
"irregulares",0
"jairo",0
"jife",0
"juego",0
"juicio",0
"junta",0
"jurídicas",0
"jurídico",0
"justo",0
"kennedy",0
"kerry",0
"labor",0
"latina",0
"latinoamérica",0
"lea",0
"lee",0
"legal",0
"legislación",0
"legitimidad",0
"liberación",0
"libertad",0
"libre",0
"libres",0
"libro",0
"líder",0
"límite",0
"llama",0
"llamó",0
"llega",0
"llevaba",0
"llevarse",0
"logró",0
"londoño",0
"londres",0
"loquedijo",0
"lozano",0
"lucía",0
"lupa",0
"lyons",0
"mafia",0
"magistrados",0
"mala",0
"maltrato",0
"mamá",0
"mando",0
"manejo",0
"manifestantes",0
"manizales",0
"manuales",0
"mar",0
"marihuana",0
"marta",0
"masacre",0
"máxima",0
"mayores",0
"mecanismo",0
"media",0
"médica",0
"medina",0
"mejores",0
"mercados",0
"mermelada",0
"meses",0
"meta",0
"méxico",0
"miguel",0
"militares",0
"millonaria",0
"ministros",0
"minutos",0
"mitad",0
"modelo",0
"moneda",0
"movilización",0
"movimientos",0
"muere",0
"muestran",0
"muro",0
"nacionales",0
"narco",0
"naturales",0
"navelena",0
"necesitamos",0
"negar",0
"negra",0
"nicolás",0
"niñas",0
"nivel",0
"ñoño",0
"normal",0
"normas",0
"noruega",0
"nota",0
"notificó",0
"noviembre",0
"objetivos",0
"obligatorio",0
"obtuvo",0
"ocasiones",0
"ocultar",0
"ocurridos",0
"odebrech",0
"oeste",0
"oficina",0
"ola",0
"ong",0
"oportunamente",0
"oportunidad",0
"ordenan",0
"ordoñez",0
"organismos",0
"organizaciones",0
"órganos",0
"orlando",0
"pablo",0
"pacífica",0
"pactado",0
"pacto",0
"pagado",0
