comentario,polaridad
"Se necesita más youtuber de 40 con buena crítica social, Álvaro Uribe es un sujeto que no debería estar en la política Colombiana, es un sujeto cínico y despreciable .",-1
Juan Manuel Santos - Presidente Pidale apollo a estados unidos  y a varias potencias del mundo y bomdardee a esos pendejos de farc y guerrillas,-1
QUIEREN CALLAR A CLAUDIA LÓPEZ PORQUE NUNCA NADIE LOS HA SOMETIDO A DECIR LA VERDAD.,0
Fuerza Jorge Jorge Enrique Robledo Castillo y Claudia López. Colombia los necesita!,1
Alvaro Uribe seguirà siendo el lider con corazon grande para su pueblo y mano dura para los terroristas de todas las calañas.,1
"Ver cómo atacaban a claudia López por decir la verdad, habla muy bien de esta señora!",1
"Claudia lopez es un gallo tapado, apoyando la corrupción de peñalosa. No hay que creerle nada.",-1
Porque Álvaro Uribe Vélez es su padrino. Por que más??,0
Trabajando y Trabajando por esta nación. El incansable Presidente Alvaro Uribe. Dios Lo siga Bendiciendo.,1
Orgullosa de usted señor Alvaro Uribe Velez...usted es grande...muchas bendiciones,1
Viva Álvaro Uribe Velez,1
"A ver profesores, me hacen una plana que diga: No debo creer en el hp de Juan Manuel Santos. No debo creer en el hp de Juan Manuel Santos.  No debo creer en el hp de Juan Manuel Santos. 😎",-1
"DR. ÁLVARO URIBE VÉLEZ: EL LÍDER, EL TRIBUNO, EL CAUDILLO, EL GRAN COLOMBIANO, EL PAISA BERRACO, EL PATRIOTA, EL BOLÍVAR DEL SIGLO 21, EL PUEBLO MISMO, EL PRESIDENTE POR SIEMPRE DE LOS COLOMBIANOS, EL MEJOR PRESIDENTE QUE HA TENIDO COLOMBIA EN TODOS LOS TIEMPOS, DICHO INCLUSIVE POR SU MAS ACÉRRIMO CONTRADICTOR : SANTOS, EL DÍA DE SU 1RA. POSESIÓN. QUE MAS PODEMOS DECIR.?",1
Bien Daniel Samper!!,1
Lo acompañó doctor Álvaro Uribe indudablemente nuestro mejor presidente Aunque digan lo contrario sus adversarios,1
Es claudia López no clara!!!,0
Gracias Juan Manuel Santos presidente por terminar de entregar el país,-1
"Soy antioqueño y Señor Daniel Samper debo expresarle la profunda vergüenza que siento con la infamia orquestada por estos líderes despreciables, populistas y que no representan a los 7 millones de Antioqueños. Mis respetos y consideración. Lo seguiré leyendo hasta el día de mi muerte sin fanatismos y con un espíritu abierto al humor y la crítica tan necesaria en un país camandulero y medieval.",0
"Fuerza Daniel Samper Ospina  ojalá este señor que no sabe medirse, sea aleccionado por la justicia",0
Claudia Lopez es,0
Pobre mujer ella se sueña con santos todos los días salud hernandez cuando hablara de los narcoparamilitares de uribe y sus amiguitos ud es una reportera a medias talcual vicky Dávila,-1
"Lo que no saben es que eso en lugar de ser un atenuante, es un agravante. Señor Álvaro Uribe, usted como abogado debería saber eso. Usar el Estado para cometer delitos siendo miembro de las Fuerzas Militares, es más grave que si el delito lo comete un civil, ya que el soldado, oficial o suboficial son servidores públicos, de quienes se espera un comportamiento ejemplar y conforme a las leyes y no que se alíen con otros miembros al margen de la ley, cómo lo son los paramilitares.",-1
Muy grave el cartel que revela Claudia López hoy. Vargas Lleras no puede ser presidente. Es el oligarca rolo que montó mafia con lo peorcito de todo el país de la mano de fiscal Néstor Humberto.,-1
Eso es que tiene miedo que Daniel Samper se lance de candidato presidencial y está tomando medidas anticipadas jajaja,-1
"Dr Álvaro Uribe, en qué va el trámite de ley para que el giro directo lo suban al 80%, las ips lo necesitamos",0
"Matador ¿Por que el El fiscal General de la Nación, Néstor Humberto Martínez dice que las FARC sólo entregaron ollas y traperos, pero omite las 220.724 cabezas de ganado, 2.500 millones de pesos, 450 Mil dólares, 327 kilos de oro puro y 241.560 hectáreas de tierras. ¿Sera que se las piensan robar?",-1
Lengua de culebrera tiene es la Claudia López,-1
"Calvo, se le metieron al rancho en twitter, el loco motosierra acabó de dar RT a esta imagen.. #SePrendióEstaMierda Padres e hijos no es nada al lado de este novelón. ¡Calvo meta a James! JAJAJJAJ Apoyo total a Daniel Samper Ospina",0
"No contentos con que el sistema de justicia este colapsado entonces corren a colpasarlo todavia mas con acusaciones pendejas de lado y lado, por eso Uribe deberia desmovilizarse e ir a cuidar gallinas a su finca y Daniel Samper deberia hacer lo mismo para ponerse madurar un poquito a ver si se quita ese porte de payaso que tiene.",-1
